DeviceId,PublisherId,DeviceType,UserAgent,IpAaddress,Ttimestamp,Latitude,Longitude,Accuracy
2ECA488F-8AA1-46FA-9821-D93B6F98FF2B,3199,IDFA,,,1481942522,37.65925,-122.39967,0
6E1BAE15-C5CF-4B51-A93B-2B067A1ACB9E,2713,IDFA,,,1480952465,37.87529,-122.25855,0
8e56f950-8196-4242-9759-83bbd27b16bb,1018,AAID,,,1480954266,33.48067,-86.79499,0
77068c24-593e-4b53-9d91-b1d91cc19398,1018,AAID,,,1481539243,43.10772,-75.33034,0
04BDA0F2-0702-4B77-A376-BD819AFCFE2D,1169,IDFA,,,1482985457,32.75567,-96.80595,0
47fbf824-904d-46bb-8020-07dff6443850,2076,AAID,ZWXC2,98.66.4.244,1482409331,36.00008,-88.42806,0
c2c5f50f-314f-489e-912d-669706107c9c,2076,AAID,HTCEVO,98.199.102.16,1483082463,29.64878,-95.49963,0
51e27029-392a-4994-8bb3-d61045d98bb8,2076,AAID,HTCEVO,172.56.14.239,1480554292,30.05375,-95.92288,0
51e27029-392a-4994-8bb3-d61045d98bb8,2076,AAID,HTCEVO,98.195.45.247,1481143665,29.64607,-95.48827,0
6030cd2a-2df4-4e94-9721-149942b4f3cf,2076,AAID,KataV4,73.135.238.55,1482983332,39.37121,-76.59165,0
d11d9343-ecc9-486a-b9f0-0fb7b1b5c1c0,2076,AAID,ZTEK88,47.34.140.143,1482016381,34.49024,-117.34061,0
8f1d3746-ff64-4f0a-bc54-4295568af116,2076,AAID,ZTEK88,174.17.60.68,1482603255,33.64542,-112.09136,0
22f4e062-9b28-4b7b-a0d8-5657e50d6728,2076,AAID,ZTEK88,97.85.159.218,1482738034,38.76167,-90.22035,0
E8D1574D-5FF4-4EB7-A5D0-9DF277B64A7E,2076,IDFA,iPad24,165.138.55.107,1481907927,40.28071,-85.49961,0
A94F4A52-C0A6-4860-A877-C9677CB53B7B,2076,IDFA,iPad24,173.190.7.88,1483053514,37.41539,-84.992,0
2CBE5148-2E93-4A54-A8B6-FE0D9BA7927A,2076,IDFA,iPad24,167.142.130.84,1482824856,41.59169,-91.02537,0
153871F3-DDFE-4190-9595-4199C190BF90,2076,IDFA,iPad24,174.22.160.165,1481475507,37.6253,-104.78911,0
